ID;Название;Статус;Стартовая;Текущая;Ставок;Категория;Картинки
35005;Бронзовый наконечник-площик;ENDED;500.00;0.00;0;Металлопластика античная;[]
35153;7 античных ножей;ENDED;1999.00;0.00;0;Металлопластика античная;[]
35189;Вт&#41; конёк. Лепта.;ENDED;500.00;0.00;0;Античные монеты;[]
35217;Вт&#41; Горит.;ENDED;300.00;300.00;1;Античные монеты;[]
35229;5 копеек 1941г;ENDED;150.00;0.00;0;Россия и СССР;[]
35252;5 копеек 1879 г.;ENDED;500.00;0.00;0;Имперские (Россия);[]
35258;///10 копеек 1915 г.///;ENDED;250.00;0.00;0;Имперские (Россия);[]
35291;Серебряная металлопластика;ENDED;1500.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35292;3 гроша  Сигизмунда 3 &#40;1610 г.,Фальшак&#41;;ENDED;500.00;0.00;0;Средневековые (Европа);[]
35307;5 копеек 1938 г.;ENDED;300.00;0.00;0;Россия и СССР;[]
35309;10 копеек 1945 г.;ENDED;500.00;0.00;0;Россия и СССР;[]
35314;Блиндажная лампа-коптилка из Американской гильзы.;ENDED;900.00;0.00;0;Предметы старины не относящиеся к вышестоящим темам ;[]
35320;подсвечник 3.;ENDED;200.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35325;Грузила античные керамика.;ENDED;1300.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35327;античное.;ENDED;550.00;0.00;0;Античная и средневековая керамика, стекло;[]
35328;пуги- гирьки;ENDED;999.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35349;3 копейки СССР;ENDED;600.00;0.00;0;Россия и СССР;[]
35350;5 копеек СССР;ENDED;300.00;0.00;0;Россия и СССР;[]
35352; копейки 1924 СССР;ENDED;550.00;0.00;0;Россия и СССР;[]
35353; копейки 1924 и пол-коп СССР;ENDED;550.00;0.00;0;Россия и СССР;[]
35354;2 копейки  СССР;ENDED;550.00;0.00;0;Россия и СССР;[]
35356;10 копеек  СССР;ENDED;1000.00;0.00;0;Россия и СССР;[]
35361;50 копеек 24-25 год  СССР &#40;пл&#41;;ENDED;1100.00;0.00;0;Россия и СССР;[]
35363;10 копеек   СССР билон;ENDED;800.00;0.00;0;Россия и СССР;[]
35364;10,15,20 копеек   СССР билон 1923.;ENDED;600.00;0.00;0;Россия и СССР;[]
35365;Царское серебро  .;ENDED;1200.00;0.00;0;Имперские (Россия);[]
35369;значки СССР  корабли разные;ENDED;550.00;0.00;0;Фалеристика СССР;[]
35373;значки СССР ГТО;ENDED;600.00;0.00;0;Фалеристика СССР;[]
35374;значки СССР гербы.города разные;ENDED;1100.00;0.00;0;Фалеристика СССР;[]
35381;значки СССР . разные;ENDED;500.00;0.00;0;Фалеристика СССР;[]
35386;значки СССР . города герои;ENDED;550.00;0.00;0;Фалеристика СССР;[]
35390;5 копеек 1924 г. &#40;в родной патине&#41;;ENDED;200.00;0.00;0;Россия и СССР;[]
35391;Бешлык Шахин Гирея БРАК &#40;двойной надчикан, с переворотом;ENDED;200.00;0.00;0;Восточные;[]
35402;значки СССР.Чемпионат мира по хоккею. Москва 1979 год.;ENDED;800.00;0.00;0;Фалеристика СССР;[]
35403;50 копеек СССР 50 шт.;ENDED;500.00;0.00;0;Россия и СССР;[]
35407;крестики тельные;ENDED;1100.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35422;Чекре Орду Муаззам;ENDED;650.00;0.00;0;Восточные;[]
35439;О&#41; Горит. 9;ENDED;300.00;0.00;0;Античные монеты;[]
